NC;L1;202602;2.0TD;081976;7968;525,4;1077,4;0;25,43;758,18;12,69
NC;L1;202602;2.0TD;310142;47;10,22;4,24;0;0,83;7,07;0,11
NC;L1;202602;2.0TD;431423;867;15,67;126,25;0;0,88;46,51;1,43
NC;L1;202602;2.0TD;280339;4909;245,67;631,97;0;10,41;397,6;7,21
NC;L1;202602;2.0TD;320394;42;26,8;8,51;0;2,37;47,09;0000000000000-0,17
NC;L2;202602;RL.2;390801;20134;178;2163,76;0;11,08;382,73;29,38
NC;L1;202602;2.0TD;170792;22718;1631,4;3318,61;0;70,29;2191,08;41,39
NC;L2;202602;RL.2;090597;234606;1789,62;16784,48;0;100,54;4087,09;217,35
NC;L2;202602;RL.2;372745;118593;1054,54;8318,22;0;57,87;2168,53;108,06
NC;L1;202602;2.0TD;082172;13450;673,79;1795,89;0;30,64;1097,41;20,59
NC;L1;202602;2.0TD;200646;22775;1737,97;3828,61;0;104,34;2778,33;41,87
NC;L1;202602;2.0TD;150320;1761;132,1;249,83;0;7,03;225,75;2,35
NC;L1;202602;2.0TD;070407;61778;4003,11;8945,05;0;183,22;4426,14;127,84
NC;L1;202602;2.0TD;049026;15671;1262,8;2255,35;0;60,78;1284,54;33,5
NC;L1;202602;2.0TD;431362;8436;681,33;1156,55;0;32,56;1005,87;12,48
NC;L2;202602;RL.2;200631;36846;348,46;3763,69;0;18,21;693,06;51,29
NC;L2;202602;RL.2;330122;663;5,28;44,15;0;0,28;11,77;0,56
NC;L1;202602;2.0TD;082191;5834;521,63;809,04;0;20,17;611,68;10,78
NC;L2;202602;RL.1;030664;29784;493,96;2361,77;0;58,39;675,17;32,7
NC;L1;202602;2.0TD;031225;19151;1075,17;2751,53;0;53,47;1298,24;37,93
NC;L1;202602;2.0TD;309012;10522;516,79;1744,59;0;26,1;908,77;20,3
NC;L1;202602;2.0TD;083073;17022;995,58;2403,08;0;46,39;1608,63;26,81
NC;L2;202602;RL.1;130966;512;6,04;37,23;0;0,53;9,88;0,5
NC;L1;202602;2.0TD;200809;22077;1562,35;4168,11;0;104,67;3338,3;35,86
NC;L2;202602;RL.1;460155;391;21,57;28,51;0;2,23;14,9;0,53
NC;L1;202602;2.0TD;081249;15495;1205,6;2174,92;0;53,57;1500,26;28,19
NC;L1;202602;2.0TD;200776;17073;1309,68;3171,3;0;86,85;2837,1;24,64
NC;L1;202602;2.0TD;251207;22465;1823,47;3180,1;0;89,59;2576,55;36,35
NC;L1;202602;2.0TD;130533;5616;222,71;734,88;0;12,46;408,12;8,25
NC;L1;202602;2.0TD;191522;2391;79,28;337,74;0;5,2;155,9;3,92
NC;L1;202602;2.0TD;240573;485;39,36;112,55;0;3;56,8;1,43
NC;L2;202602;RL.2;492755;116757;768,4;8637,45;0;45,49;2028,65;110,65
NC;L1;202602;2.0TD;431634;9295;692,62;1362,36;0;33,55;1012,75;15,6
NC;L1;202602;2.0TD;180227;15652;711,63;2057,15;0;37,12;1217,37;23,27
NC;L1;202602;2.0TD;200420;4603;440,11;860,6;0;29,59;755,18;8,18
NC;L1;202602;2.0TD;192803;2356;112,62;262,12;0;5,51;167,87;3,11
NC;L1;202602;2.0TD;200300;22243;1760,86;4034,25;0;115,32;3150,74;39,68
NC;L1;202602;2.0TD;241149;1477;156,13;208,26;0;9,54;218,59;2,2
NC;L1;202602;2.0TD;089045;1815;208,63;261,47;0;11,23;233,12;3,55
NC;L1;202602;2.0TD;281006;9312;362,48;1375,19;0;17,75;740,29;14,96
NC;L1;202602;2.0TD;430363;152;39,58;21;0;1,68;39,54;0,31
NC;L2;202602;RL.2;330609;112045;829,71;7902,34;0;50,3;2017,74;100,69
NC;L2;202602;RL.2;020030;81974;630,99;6258,92;0;35,07;1448,81;81,64
NC;L1;202602;2.0TD;041024;5799;317,74;759,96;0;18,17;364,62;10,7
NC;L1;202602;2.0TD;280225;13614;865,45;1938,62;0;39,78;1271,4;22,98
NC;L1;202602;2.0TD;140713;1214;61,34;165,97;0;3,92;77,88;2,23
NC;L1;202602;2.0TD;451357;1154;77,2;154,84;0;4,25;142,19;1,35
NC;L2;202602;RL.1;080018;1107;23,61;80,51;0;2,46;26,87;1,16
NC;L1;202602;2.0TD;180508;7486;116,68;970,67;0;5,26;338,42;11,23
NC;L1;202602;2.0TD;081075;8456;432,77;1150,16;0;20,85;523,02;15,91
NC;L1;202602;2.0TD;162532;14;10,33;2,83;0;0,77;7,61;0,08
NC;L2;202602;RL.1;390190;38283;469,5;3715,43;0;57,54;820,48;50,45
NC;L2;202602;RL.2;330766;45788;330,75;3123,66;0;19,33;804,82;39,74
NC;L1;202602;2.0TD;082896;3543;128,59;440,22;0;5,56;254,4;4,72
NC;L2;202602;RL.1;080771;12255;187,93;987,36;0;21,06;270,94;13,56
NC;L2;202602;RL.2;200104;10022;122,75;1015,18;0;7,89;214,84;13,86
NC;L1;202602;2.0TD;080765;10119;465,53;1439,18;0;22,69;622,83;19,23
NC;L1;202602;2.0TD;400411;1430;109,83;181,01;0;4,84;178,71;1,68
NC;L1;202602;2.0TD;460121;733;58,08;76,55;0;3,38;73,72;0,92
NC;L1;202602;2.0TD;052079;208;18,03;24,76;0;0,88;16,23;0,4
NC;L1;202602;2.0TD;460095;6436;194,36;875,91;0;10,07;388,03;10,24
NC;L1;202602;2.0TD;240649;1687;100,21;228,79;0;5,15;186,85;2,14
NC;L1;202602;2.0TD;172023;4025;362,07;684,21;0;16,29;506,69;8,09
NC;L1;202602;2.0TD;320776;329;18,63;76,04;0;1,01;40,04;0,82
NC;L1;202602;2.0TD;130966;1613;108,45;212,61;0;5,81;144,25;2,65
NC;L1;202602;2.0TD;070110;4596;474,1;680,27;0;20,24;440,30;10,71
NC;L1;202602;2.0TD;290385;15182;809,25;1945,26;0;35,7;1304,26;21,75
NC;L2;202602;RL.2;310235;16366;128,05;1302,54;0;6,91;288,95;17,14
NC;L2;202602;RL.1;010091;23734;219,56;2501,26;0;27,55;471,53;33,74
NC;L2;202602;RL.1;472316;11085;88,35;891,63;0;8,62;205,59;11,62
NC;L1;202602;2.0TD;261682;5604;420,01;859,59;0;25,39;685,41;8,9
NC;L2;202602;RL.1;281603;300;14,66;21,8;0;1,29;9,55;0,4
NC;L1;202602;2.0TD;161338;1300;117,52;155,32;0;5,64;171,74;1,52
NC;L2;202602;RL.1;030566;2332;59,03;222,4;0;6,79;44,24;3,56
NC;L2;202602;RL.1;280843;8373;69,9;671,52;0;6,95;156,88;8,77
NC;L2;202602;RL.1;312270;20636;224,87;1602,44;0;21,88;372,68;21,81
NC;L1;202602;2.0TD;030801;921;72,62;119,74;0;2,83;71,71;1,81
NC;L1;202602;2.0TD;460706;7922;473,06;1166,84;0;20,32;692,45;14,22
NC;L2;202602;RL.2;330334;46241;338,68;4147,43;0;21,92;842,98;54,64
NC;L1;202602;2.0TD;150098;5381;263,81;735,16;0;13,23;444,44;8,32
NC;L1;202602;2.0TD;300124;7369;416,35;1042,6;0;19,09;781,22;10,13
NC;L1;202602;2.0TD;290688;8421;409,91;1141,28;0;20,98;679,32;13,07
NC;L1;202602;2.0TD;460116;2109;124,93;268,68;0;5,78;175,56;3,27
NC;L1;202602;2.0TD;180140;4901;260,75;669,83;0;14,14;454,47;7,15
NC;L1;202602;2.0TD;230951;2757;159,39;369,01;0;10,35;236,03;4,38
NC;L1;202602;2.0TD;191608;593;96,32;77,74;0;5,56;72,64;1,52
